"SETTLEMENT_DATE","SETTLEMENT_PERIOD","ND","FORECAST_ACTUAL_INDICATOR","TSD","ENGLAND_WALES_DEMAND","EMBEDDED_WIND_GENERATION","EMBEDDED_WIND_CAPACITY","EMBEDDED_SOLAR_GENERATION","EMBEDDED_SOLAR_CAPACITY","NON_BM_STOR","PUMP_STORAGE_PUMPING","SCOTTISH_TRANSFER","IFA_FLOW","IFA2_FLOW","BRITNED_FLOW","MOYLE_FLOW","EAST_WEST_FLOW","NEMO_FLOW","NSL_FLOW","ELECLINK_FLOW","VIKING_FLOW","GREENLINK_FLOW"
"2025-12-01",1,23435,"A",29475,21853,4335,6606,0,20993,0,1273,4459,-414,-350,-1073,-388,-368,-1022,545,-99,1006,-453
"2025-12-01",2,23776,"A",30228,22312,4529,6606,0,20993,0,1550,4570,-400,-355,-1073,-410,-425,-1022,469,-104,976,-513
"2025-12-01",3,23485,"A",29763,22142,4720,6606,0,20993,0,1579,4568,-405,-317,-989,-410,-519,-846,96,-100,929,-513
"2025-12-01",4,22777,"A",29134,21557,4910,6606,0,20993,0,1669,4662,-406,-309,-986,-410,-531,-839,20,-93,923,-514
"2025-12-01",5,22261,"A",28818,21087,5002,6606,0,20993,0,1666,4773,-473,-121,-914,-410,-531,-971,-358,200,828,-513
"2025-12-01",6,21977,"A",28384,20811,5093,6606,0,20993,0,1462,5051,-477,-104,-912,-410,-531,-975,-423,219,816,-513
"2025-12-01",7,21635,"A",27397,20428,5107,6606,0,20993,0,1489,4990,-119,67,-830,-410,-531,-608,-661,265,680,-514
"2025-12-01",8,21023,"A",26764,19674,5121,6606,0,20993,0,1483,4518,-85,68,-826,-444,-531,-593,-665,266,667,-514
"2025-12-01",9,20654,"A",26583,19250,5077,6606,0,20993,0,1243,4239,-310,-325,-967,-451,-531,-647,-342,202,650,-513
"2025-12-01",10,20728,"A",26686,19218,5033,6606,0,20993,0,1275,3884,-333,-357,-973,-451,-531,-651,-273,194,648,-514
"2025-12-01",11,21463,"A",26970,19808,4948,6606,0,20993,0,504,3399,-468,-534,-899,-451,-531,-1007,104,81,602,-513
"2025-12-01",12,22073,"A",27426,20219,4862,6606,0,20993,0,326,2761,-480,-535,-895,-451,-531,-1022,181,69,603,-513
"2025-12-01",13,25075,"A",29360,22895,4708,6606,0,20993,0,104,2258,-10,-146,-814,-452,-531,-1022,555,-93,819,-513
"2025-12-01",14,27783,"A",31958,25227,4554,6606,0,20993,0,40,2276,18,-113,-810,-452,-531,-1021,611,-95,846,-513
"2025-12-01",15,31112,"A",35121,28280,4424,6606,0,20993,0,49,2013,241,155,-853,-451,-531,-1011,729,213,1306,-514
"2025-12-01",16,32577,"A",36563,29532,4293,6606,0,20993,0,27,1786,280,189,-853,-452,-531,-1008,773,253,1340,-515
"2025-12-01",17,34644,"A",37969,31399,4165,6606,0,20993,0,26,890,1326,758,-676,-451,-531,-527,1146,952,1415,-514
"2025-12-01",18,35448,"A",38675,32050,4037,6606,20,20993,0,27,687,1453,802,-614,-451,-531,-490,1206,997,1420,-514
"2025-12-01",19,36976,"A",39096,33473,3932,6606,118,20993,0,24,359,1501,980,663,-451,-531,271,1376,997,1420,-514
"2025-12-01",20,37148,"A",39265,33510,3826,6606,245,20993,0,20,258,1506,992,806,-452,-531,326,1397,997,1421,-514
"2025-12-01",21,37559,"A",39672,34077,3722,6606,378,20993,0,16,472,1505,992,1035,-452,-531,982,1397,997,1421,-514
"2025-12-01",22,37549,"A",39658,34157,3618,6606,521,20993,0,14,182,1505,992,1044,-451,-531,1016,1397,997,1420,-513
"2025-12-01",23,37757,"A",39867,34258,3579,6606,534,20993,0,13,-5,1505,992,1008,-452,-531,978,1397,998,1421,-514
"2025-12-01",24,37819,"A",39928,34291,3540,6606,521,20993,0,12,-213,1503,992,1008,-452,-531,977,1397,997,1421,-514
"2025-12-01",25,37934,"A",40042,34207,3513,6606,489,20993,0,13,-449,1052,992,862,-451,-531,925,1397,998,1420,-513
"2025-12-01",26,37951,"A",40061,34219,3486,6606,446,20993,0,13,-551,1003,992,843,-452,-531,923,1397,997,1421,-514
"2025-12-01",27,37827,"A",39931,34246,3485,6606,418,20993,0,8,-572,1003,992,468,-452,-531,821,1397,998,1421,-513
"2025-12-01",28,37401,"A",39505,33888,3484,6606,377,20993,0,8,-967,1004,992,465,-451,-531,795,1397,998,1425,-514
"2025-12-01",29,36740,"A",38910,33172,3457,6606,214,20993,0,9,-925,1005,992,143,-451,-531,-66,1397,998,1425,-513
"2025-12-01",30,37063,"A",39289,33449,3429,6606,86,20993,0,8,-851,1005,992,129,-452,-531,-122,1397,999,1425,-513
"2025-12-01",31,37265,"A",39605,33619,3435,6606,15,20993,0,4,-883,1223,992,-236,-452,-531,-4,1397,998,1425,-513
"2025-12-01",32,37940,"A",40292,34200,3441,6606,1,20993,0,3,-834,1254,992,-254,-451,-531,0,1397,998,1425,-513
"2025-12-01",33,38574,"A",40674,34793,3477,6606,0,20993,0,3,-891,1254,992,95,-452,-531,27,1397,998,1425,-514
"2025-12-01",34,39117,"A",41215,35288,3513,6606,0,20993,0,3,-1028,1253,990,123,-451,-531,34,1397,995,1425,-513
"2025-12-01",35,39243,"A",41342,35252,3606,6606,0,20993,0,3,-1488,1163,918,966,-452,-531,596,1397,881,1425,-513
"2025-12-01",36,39512,"A",41612,35513,3698,6606,0,20993,0,3,-1249,1152,911,1022,-452,-531,624,1397,865,1425,-514
"2025-12-01",37,39258,"A",41356,35326,3748,6606,0,20993,0,2,-1292,1143,834,1046,-451,-531,966,1397,569,1425,-514
"2025-12-01",38,38241,"A",40342,34361,3797,6606,0,20993,0,4,-1403,1142,833,1047,-452,-531,980,1398,557,1425,-514
